_id,base_clock,boost_clock,brand,core,cpu,iGPU,keyword,socket,tdp,thread
,3.2,,intel,12,i5-1250PE,Intel® Iris® Xe Graphics eligible,1250PE,FCBGA1744,64,16
,3.3,,intel,12,i7-1270PE,Intel® Iris® Xe Graphics eligible,1270PE,FCBGA1744,64,16
,3.3,,intel,10,i5-1245UE,Intel® Iris® Xe Graphics eligible,1245UE,FCBGA1744,55,12
,3.3,4.4,intel,6,i3-1210U,Intel® UHD Graphics for 12th Gen Intel® Processors,1210U,FCBGA1781,29,8
,3.3,4.4,intel,6,i3-1215U,Intel® UHD Graphics for 12th Gen Intel® Processors,1215U,FCBGA1744,55,8
,3.6,5.0,intel,16,i9-12950HX,Intel® UHD Graphics for 12th Gen Intel® Processors,12950HX,FCBGA1964,157,24
,3.3,4.4,intel,10,i5-1240U,Intel® Iris® Xe Graphics eligible,1240U,FCBGA1781,29,12
,3.6,5.0,intel,16,i9-12900HX,Intel® UHD Graphics for 12th Gen Intel® Processors,12900HX,FCBGA1964,157,24
,3.4,4.8,intel,16,i7-12850HX,Intel® UHD Graphics for 12th Gen Intel® Processors,12850HX,FCBGA1964,157,24
,3.4,4.8,intel,16,i7-12800HX,Intel® UHD Graphics for 12th Gen Intel® Processors,12800HX,FCBGA1964,157,24
,3.1,4.4,intel,8,i5-12450HX,Intel® UHD Graphics for 12th Gen Intel® Processors,12450HX,FCBGA1964,157,12
,3.3,,intel,6,i3-1215UE,Intel® UHD Graphics for 12th Gen Intel® Processors,1215UE,FCBGA1744,55,8
,3.1,,intel,8,i3-1220PE,Intel® UHD Graphics for 12th Gen Intel® Processors,1220PE,FCBGA1744,64,12
,4.0,5.5,intel,16,i9-12900KS,Intel® UHD Graphics 770,12900KS,FCLGA1700,241,24
,3.3,4.6,intel,12,i5-12600HX,Intel® UHD Graphics for 12th Gen Intel® Processors,12600HX,FCBGA1964,157,16
,3.5,4.7,intel,14,i7-12700HL,Intel® Iris® Xe Graphics eligible,12700HL,FCLGA1700,,20
,2.7,4.8,intel,10,i7-1265UL,Intel® Iris® Xe Graphics eligible,1265UL,FCLGA1700,15,12
,3.3,4.7,intel,14,i7-12650HX,Intel® UHD Graphics for 12th Gen Intel® Processors,12650HX,FCBGA1964,157,20
